customer_id,customer_name,city,country
CUST0000,"Conner, Johnson and Caldwell",Lake Michelle,Indonesia
CUST0001,"Stewart, Daniels and Wood",Jacquelineton,Bolivia
CUST0002,Walsh LLC,New Gregorybury,Switzerland
CUST0003,"Barron, Johnson and Johnson",North Patrickville,Lebanon
CUST0004,"Lee, Lynch and Meyer",Dawnchester,Hungary
CUST0005,"Molina, Walker and Fritz",Port Pamelaville,Zimbabwe
CUST0006,"Scott, Myers and Morris",North Melanie,Ghana
CUST0007,Roberts and Sons,Port Samanthamouth,India
CUST0008,Goodman Ltd,Myersstad,Brunei Darussalam
CUST0009,"Clark, Ramirez and Fox",West Jackie,Libyan Arab Jamahiriya
CUST0010,Jones PLC,Taylorberg,Papua New Guinea
CUST0011,Hampton and Sons,Solomonfurt,Zimbabwe
CUST0012,"Ferguson, Novak and Thompson",Brianshire,Jamaica
CUST0013,Arnold Group,Christopherville,Belgium
CUST0014,Hicks LLC,Lake William,Estonia
CUST0015,"Huynh, Schneider and Jensen",East Kristinport,Croatia
CUST0016,Johnson Group,East Kathleen,Nepal
CUST0017,Christian-Bush,Juliaville,Reunion
CUST0018,Smith-Nichols,North Austinview,Vanuatu
CUST0019,"Salinas, Marquez and Scott",Alejandraside,Mexico
CUST0020,"Williams, Zimmerman and Mcdonald",Lake Robert,Saint Vincent and the Grenadines
CUST0021,Fuentes Inc,Lake Ronnie,Uganda
CUST0022,"Wyatt, Williams and Braun",Heathertown,Korea
CUST0023,Shepard and Sons,Parsonshaven,Gambia
CUST0024,"Cobb, Harrison and Anthony",Prattbury,Saint Pierre and Miquelon
CUST0025,Welch Ltd,New Michaelside,North Macedonia
CUST0026,"Curry, Bryant and Ware",West Jessicamouth,Netherlands Antilles
CUST0027,"Fisher, Carter and Ryan",Angelaburgh,Montserrat
CUST0028,"Pennington, Jefferson and Cole",Knightside,Finland
CUST0029,"Blair, Pham and Hart",Ryanton,Palestinian Territory
CUST0030,Richmond-Fuller,Peggyton,Israel
CUST0031,"Holland, Weaver and Carson",New Melanie,Croatia
CUST0032,Ellis-Roach,East Stephaniefurt,San Marino
CUST0033,Thompson Group,Ginahaven,Nicaragua
