posting_id,vendor_id,document_date,document_type
DOC000000,VEND0363,2025-03-22,Credit Memo
DOC000001,VEND0434,2025-07-09,Credit Memo
DOC000002,VEND0188,2024-10-20,Vendor Invoice
DOC000003,VEND0404,2025-03-02,Payment
DOC000004,VEND0891,2025-08-08,Payment
DOC000005,VEND0861,2024-11-23,Credit Memo
DOC000006,VEND0156,2024-09-29,Payment
DOC000007,VEND0881,2025-07-13,Journal Entry
DOC000008,VEND0234,2024-09-29,Payment
DOC000009,VEND0437,2025-08-25,Journal Entry
DOC000010,VEND0739,2025-06-16,Payment
DOC000011,VEND0448,2025-06-21,Vendor Invoice
DOC000012,VEND0258,2025-07-05,Credit Memo
DOC000013,VEND0780,2025-01-09,Credit Memo
DOC000014,VEND0922,2025-04-01,Credit Memo
DOC000015,VEND0572,2026-01-25,Journal Entry
DOC000016,VEND0812,2026-03-28,Payment
DOC000017,VEND0215,2026-05-23,Credit Memo
DOC000018,VEND0110,2026-02-27,Vendor Invoice
DOC000019,VEND0402,2026-02-26,Vendor Invoice
DOC000020,VEND0509,2026-02-14,Vendor Invoice
DOC000021,VEND0943,2026-03-17,Vendor Invoice
DOC000022,VEND0554,2026-04-04,Credit Memo
DOC000023,VEND0263,2026-04-22,Credit Memo
DOC000024,VEND0898,2026-06-22,Payment
DOC000025,VEND0047,2026-01-03,Credit Memo
DOC000026,VEND0565,2026-04-11,Credit Memo
DOC000027,VEND0424,2026-07-16,Journal Entry
DOC000028,VEND0536,2026-02-25,Credit Memo
DOC000029,VEND0271,2026-03-11,Payment
DOC000030,VEND0046,2026-03-07,Journal Entry
DOC000031,VEND0441,2026-06-30,Journal Entry
DOC000032,VEND0665,2026-05-04,Journal Entry
DOC000033,VEND0120,2026-04-11,Vendor Invoice
DOC000034,VEND0365,2026-06-12,Credit Memo
DOC000035,VEND0007,2026-04-21,Vendor Invoice
DOC000036,VEND0141,2026-08-29,Vendor Invoice
DOC000037,VEND0335,2026-04-28,Credit Memo
DOC000038,VEND0637,2026-08-14,Credit Memo
DOC000039,VEND0150,2026-02-08,Vendor Invoice
DOC000040,VEND0053,2026-07-17,Journal Entry
DOC000041,VEND0894,2026-08-28,Credit Memo
DOC000042,VEND0294,2026-06-16,Credit Memo
DOC000043,VEND0475,2026-08-05,Credit Memo
DOC000044,VEND0305,2026-06-04,Journal Entry
DOC000045,VEND0752,2026-04-26,Credit Memo
DOC000046,VEND0769,2026-06-30,Payment
DOC000047,VEND0540,2026-03-04,Vendor Invoice
DOC000048,VEND0020,2026-04-08,Payment
DOC000049,VEND0026,2026-03-24,Payment
DOC000050,VEND0685,2026-06-14,Credit Memo
DOC000051,VEND0583,2026-08-12,Journal Entry
DOC000052,VEND0559,2026-08-05,Credit Memo
DOC000053,VEND0329,2026-08-13,Payment
DOC000054,VEND0715,2026-05-02,Payment
DOC000055,VEND0169,2026-01-30,Payment
DOC000056,VEND0678,2026-07-24,Vendor Invoice
DOC000057,VEND0015,2026-04-29,Vendor Invoice
DOC000058,VEND0032,2026-06-10,Credit Memo
DOC000059,VEND0646,2026-07-14,Journal Entry
DOC000060,VEND0732,2026-02-21,Journal Entry
DOC000061,VEND0693,2026-05-16,Journal Entry
DOC000062,VEND0962,2026-07-29,Journal Entry
DOC000063,VEND0341,2026-08-18,Payment
DOC000064,VEND0251,2026-08-25,Credit Memo
DOC000065,VEND0906,2026-05-05,Payment
DOC000066,VEND0801,2026-01-26,Journal Entry
DOC000067,VEND0698,2026-07-15,Payment
DOC000068,VEND0382,2026-06-21,Journal Entry
DOC000069,VEND0684,2026-05-25,Payment
DOC000070,VEND0865,2026-04-23,Journal Entry
DOC000071,VEND0030,2026-08-26,Journal Entry
DOC000072,VEND0565,2026-08-01,Journal Entry
DOC000073,VEND0302,2026-03-14,Credit Memo
DOC000074,VEND0693,2026-03-29,Credit Memo
DOC000075,VEND0514,2026-06-04,Journal Entry
DOC000076,VEND0631,2026-04-16,Vendor Invoice
DOC000077,VEND0391,2026-01-10,Credit Memo
DOC000078,VEND0609,2026-04-25,Payment
DOC000079,VEND0594,2026-02-05,Vendor Invoice
DOC000080,VEND0960,2026-07-25,Payment
DOC000081,VEND0511,2026-02-18,Vendor Invoice
DOC000082,VEND0373,2026-01-21,Credit Memo
DOC000083,VEND0183,2026-03-22,Journal Entry
DOC000084,VEND0293,2026-04-06,Vendor Invoice
DOC000085,VEND0847,2026-05-19,Journal Entry
DOC000086,VEND0286,2026-01-07,Journal Entry
DOC000087,VEND0185,2026-06-24,Payment
DOC000088,VEND0666,2026-03-08,Payment
DOC000089,VEND0776,2026-03-26,Credit Memo
DOC000090,VEND0943,2026-07-13,Credit Memo
DOC000091,VEND0557,2026-01-19,Credit Memo
DOC000092,VEND0964,2026-01-22,Vendor Invoice
DOC000093,VEND0336,2026-05-08,Payment
DOC000094,VEND0743,2026-08-20,Journal Entry
DOC000095,VEND0173,2026-02-25,Vendor Invoice
DOC000096,VEND0740,2026-08-22,Journal Entry
DOC000097,VEND0230,2026-03-02,Credit Memo
DOC000098,VEND0486,2026-02-15,Journal Entry
DOC000099,VEND0637,2026-01-04,Credit Memo
DOC000100,VEND0738,2026-05-20,Vendor Invoice
DOC000101,VEND0329,2026-03-13,Credit Memo
DOC000102,VEND0485,2026-07-19,Payment
DOC000103,VEND0650,2026-08-21,Payment
DOC000104,VEND0840,2026-02-23,Credit Memo
DOC000105,VEND0254,2026-06-20,Vendor Invoice
DOC000106,VEND0387,2026-08-30,Credit Memo
DOC000107,VEND0253,2026-05-27,Payment
DOC000108,VEND0218,2026-08-17,Credit Memo
DOC000109,VEND0924,2026-02-23,Payment
DOC000110,VEND0006,2026-03-12,Journal Entry
DOC000111,VEND0881,2026-04-20,Credit Memo
DOC000112,VEND0533,2026-03-28,Journal Entry
DOC000113,VEND0564,2026-02-06,Credit Memo
DOC000114,VEND0035,2026-04-03,Payment
DOC000115,VEND0244,2026-05-21,Credit Memo
DOC000116,VEND0459,2026-05-29,Credit Memo
DOC000117,VEND0714,2026-08-23,Vendor Invoice
DOC000118,VEND0193,2026-08-11,Journal Entry
DOC000119,VEND0631,2026-07-26,Journal Entry
DOC000120,VEND0927,2026-01-20,Credit Memo
DOC000121,VEND0966,2026-06-04,Payment
