material_id,material_name,material_group,unit_price
MAT0000,Teacher Right,Packaging,473.9
MAT0001,If Trial,Packaging,321.99
MAT0002,Discuss Begin,Finished Good,430.44
MAT0003,Heavy She,Raw Material,63.86
MAT0004,Worry Style,Spare Part,434.64
MAT0005,Suffer Sure,Packaging,356.1
MAT0006,Energy Win,Raw Material,33.95
MAT0007,Outside Head,Raw Material,108.84
MAT0008,Will Imagine,Packaging,177.55
MAT0009,Them Feel,Raw Material,29.46
MAT0010,Campaign Continue,Packaging,226.6
MAT0011,Reach Son,Finished Good,15.17
MAT0012,Production Add,Packaging,252.98
MAT0013,Interest Sport,Spare Part,460.95
MAT0014,Station Early,Finished Good,300.84
MAT0015,Suddenly Everybody,Spare Part,225.64
MAT0016,Role Change,Finished Good,87.22
MAT0017,Throughout People,Raw Material,109.71
MAT0018,Number Become,Raw Material,468.87
MAT0019,Other Head,Finished Good,81.32
MAT0020,Million Enough,Packaging,464.63
MAT0021,Among Physical,Raw Material,254.55
MAT0022,Already Class,Spare Part,36.74
MAT0023,You Agency,Spare Part,200.79
MAT0024,Sea Discover,Raw Material,391.43
MAT0025,Life Officer,Packaging,21.39
MAT0026,Travel Happen,Raw Material,148.81
MAT0027,Direction Go,Packaging,484.61
MAT0028,Produce Central,Raw Material,123.09
MAT0029,Score Where,Finished Good,39.33
MAT0030,Section Its,Spare Part,349.5
MAT0031,Key Reach,Raw Material,87.22
MAT0032,Low If,Spare Part,317.55
MAT0033,Later Get,Finished Good,391.9
MAT0034,North Compare,Packaging,488.33
MAT0035,Value Approach,Spare Part,70.59
MAT0036,Without Wait,Packaging,362.28
MAT0037,Eight Agency,Finished Good,434.33
MAT0038,Matter Prevent,Raw Material,218.75
MAT0039,White Great,Packaging,69.15
MAT0040,Myself Throughout,Spare Part,204.94
MAT0041,Become Remain,Raw Material,385.33
MAT0042,Then Blue,Packaging,398.61
MAT0043,Give Argue,Finished Good,474.01
MAT0044,Modern Around,Raw Material,135.5
MAT0045,Office Government,Spare Part,324.44
MAT0046,However Record,Spare Part,318.8
MAT0047,Focus Water,Raw Material,111.7
MAT0048,We Opportunity,Packaging,208.65
MAT0049,Prepare Key,Finished Good,427.28
MAT0050,Mrs Major,Finished Good,446.03
MAT0051,Daughter President,Raw Material,385.1
MAT0052,Score Deal,Spare Part,91.34
MAT0053,Threat Thing,Raw Material,266.64
MAT0054,Movement Girl,Finished Good,187.05
MAT0055,Very Better,Finished Good,13.38
