order_id,customer_id,order_date,order_status
SO00000,CUST0175,2026-06-24,Cancel In Progress
SO00001,CUST0393,2026-06-09,Completed
SO00002,CUST0234,2026-04-10,Completed
SO00003,CUST0840,2026-03-12,Completed
SO00004,CUST0074,2026-05-30,In Progress
SO00005,CUST0334,2026-01-04,Completed
SO00006,CUST0779,2026-04-06,Open
SO00007,CUST0184,2026-01-28,Open
SO00008,CUST0421,2026-03-28,Cancel In Progress
SO00009,CUST0585,2026-08-30,In Progress
SO00010,CUST0597,2026-02-17,Completed
SO00011,CUST0132,2026-06-05,Completed
SO00012,CUST0727,2026-04-28,Completed
SO00013,CUST0649,2026-01-19,Completed
SO00014,CUST0441,2026-02-07,In Progress
SO00015,CUST0189,2026-01-31,Open
SO00016,CUST0764,2026-05-08,Open
SO00017,CUST0524,2026-08-27,Completed
SO00018,CUST0052,2026-08-03,Cancel In Progress
SO00019,CUST0438,2026-04-04,Cancelled
SO00020,CUST0983,2026-01-15,Completed
SO00021,CUST0638,2026-04-23,Cancelled
SO00022,CUST0140,2026-01-30,Open
SO00023,CUST0955,2026-05-28,Cancel In Progress
SO00024,CUST0558,2026-01-08,In Progress
SO00025,CUST0826,2026-02-08,Cancelled
SO00026,CUST0706,2026-08-02,Completed
SO00027,CUST0388,2026-02-26,Completed
SO00028,CUST0741,2026-01-17,Cancel In Progress
SO00029,CUST0814,2026-07-10,Cancelled
SO00030,CUST0437,2026-07-19,Completed
SO00031,CUST0868,2026-05-31,Completed
SO00032,CUST0748,2026-02-20,Completed
SO00033,CUST0280,2026-03-08,Open
SO00034,CUST0540,2026-07-01,Completed
SO00035,CUST0063,2026-03-10,In Progress
SO00036,CUST0004,2026-05-29,Open
SO00037,CUST0176,2026-08-03,In Progress
SO00038,CUST0935,2026-04-18,Cancel In Progress
SO00039,CUST0734,2026-04-02,In Progress
SO00040,CUST0481,2026-07-11,Cancelled
SO00041,CUST0573,2026-06-19,Completed
SO00042,CUST0648,2026-07-21,Cancel In Progress
SO00043,CUST0336,2026-04-02,In Progress
SO00044,CUST0469,2026-07-23,Completed
SO00045,CUST0780,2026-05-18,Open
SO00046,CUST0622,2026-07-12,Cancelled
SO00047,CUST0820,2026-02-16,Completed
SO00048,CUST0510,2026-05-11,Completed
SO00049,CUST0011,2026-01-12,Open
SO00050,CUST0796,2026-02-17,Cancel In Progress
SO00051,CUST0703,2026-03-15,In Progress
SO00052,CUST0208,2026-01-22,In Progress
SO00053,CUST0801,2026-07-30,In Progress
SO00054,CUST0253,2026-07-31,Open
SO00055,CUST0626,2026-06-19,Cancelled
SO00056,CUST0589,2026-02-02,Open
SO00057,CUST0312,2026-02-23,Cancelled
