order_id,material_id,item_number,quantity,amount
SO00000,MAT0060,10,98,14896.98
SO00000,MAT0056,20,741,329285.58
SO00000,MAT0182,30,632,159548.4
SO00000,MAT0024,40,250,97857.5
SO00000,MAT0048,50,815,170049.75
SO00001,MAT0119,10,555,59940.0
SO00001,MAT0042,20,437,174192.57
SO00002,MAT0093,10,782,99274.9
SO00003,MAT0125,10,424,79194.72
SO00003,MAT0165,20,957,187380.6
SO00004,MAT0185,10,317,109399.87
SO00004,MAT0089,20,543,140783.61
SO00005,MAT0152,10,987,326361.42
SO00006,MAT0166,10,476,187087.04
SO00007,MAT0048,10,930,194044.5
SO00007,MAT0126,20,400,95664.0
SO00007,MAT0132,30,500,37805.0
SO00007,MAT0062,40,720,168681.6
SO00007,MAT0154,50,491,74101.72
SO00008,MAT0169,10,348,52026.0
SO00008,MAT0073,20,687,128956.77
SO00009,MAT0148,10,746,349224.98
SO00009,MAT0177,20,499,143991.44
SO00009,MAT0130,30,187,22686.84
SO00009,MAT0068,40,319,148207.4
SO00010,MAT0161,10,623,266064.61
SO00010,MAT0105,20,485,167436.55
SO00011,MAT0014,10,54,16245.36
SO00011,MAT0084,20,650,201142.5
SO00011,MAT0017,30,188,20625.48
SO00011,MAT0194,40,690,339838.8
SO00011,MAT0035,50,495,34942.05
SO00012,MAT0042,10,754,300551.94
SO00012,MAT0019,20,496,40334.72
SO00013,MAT0072,10,632,228701.84
SO00013,MAT0164,20,645,105199.5
SO00013,MAT0047,30,626,69924.2
SO00014,MAT0074,10,972,179013.24
SO00014,MAT0150,20,942,364073.58
SO00014,MAT0001,30,150,48298.5
SO00014,MAT0064,40,610,297551.9
SO00015,MAT0158,10,469,79805.04
SO00015,MAT0054,20,858,160488.9
SO00016,MAT0029,10,380,14945.4
SO00016,MAT0038,20,52,11375.0
SO00016,MAT0056,30,669,297290.22
SO00017,MAT0127,10,500,231445.0
SO00017,MAT0186,20,364,175160.44
SO00017,MAT0140,30,662,72515.48
SO00017,MAT0168,40,710,252263.0
SO00017,MAT0057,50,381,158202.63
SO00018,MAT0088,10,1000,475780.0
SO00019,MAT0125,10,410,76579.8
SO00020,MAT0094,10,850,238204.0
SO00020,MAT0114,20,83,6867.42
SO00020,MAT0130,30,910,110401.2
SO00020,MAT0196,40,391,158327.63
SO00020,MAT0034,50,893,436078.69
SO00021,MAT0166,10,995,391074.8
SO00021,MAT0000,20,801,379593.9
SO00022,MAT0157,10,334,35103.4
SO00022,MAT0156,20,565,250215.9
SO00023,MAT0080,10,605,249750.05
SO00023,MAT0064,20,493,240480.47
SO00024,MAT0060,10,426,64756.26
SO00024,MAT0050,20,657,293041.71
SO00024,MAT0138,30,234,46704.06
SO00024,MAT0017,40,656,71969.76
SO00025,MAT0077,10,691,238401.91
SO00026,MAT0143,10,312,144515.28
SO00027,MAT0069,10,373,147469.28
SO00028,MAT0023,10,574,115253.46
SO00029,MAT0175,10,440,93183.2
SO00029,MAT0155,20,55,26777.3
SO00029,MAT0115,30,385,121894.85
SO00029,MAT0185,40,406,140114.66
SO00030,MAT0198,10,590,180911.7
SO00030,MAT0101,20,238,10424.4
SO00030,MAT0094,30,495,138718.8
SO00031,MAT0047,10,223,24909.1
SO00031,MAT0126,20,633,151388.28
SO00031,MAT0039,30,863,59676.45
SO00031,MAT0111,40,735,14964.6
SO00032,MAT0032,10,503,159727.65
SO00032,MAT0024,20,69,27008.67
SO00033,MAT0063,10,647,81483.18
SO00033,MAT0054,20,61,11410.05
SO00033,MAT0120,30,200,9506.0
SO00034,MAT0132,10,573,43324.53
SO00035,MAT0127,10,485,224501.65
SO00035,MAT0087,20,89,14331.67
SO00035,MAT0122,30,586,206272.0
SO00035,MAT0068,40,531,246702.6
SO00036,MAT0079,10,399,67383.12
SO00037,MAT0125,10,367,68548.26
SO00037,MAT0157,20,438,46033.8
SO00038,MAT0090,10,213,8496.57
SO00039,MAT0088,10,864,411073.92
SO00039,MAT0189,20,29,434.42
SO00039,MAT0071,30,955,99062.15
SO00039,MAT0007,40,186,20244.24
SO00040,MAT0007,10,649,70637.16
SO00041,MAT0038,10,605,132343.75
SO00041,MAT0178,20,418,172596.38
SO00042,MAT0064,10,721,351696.59
SO00042,MAT0061,20,421,183955.95
SO00043,MAT0049,10,794,339260.32
SO00043,MAT0122,20,994,349888.0
SO00043,MAT0031,30,746,65066.12
SO00043,MAT0128,40,575,176588.25
SO00043,MAT0196,50,596,241338.28
SO00044,MAT0139,10,713,295246.17
SO00045,MAT0029,10,820,32250.6
SO00046,MAT0148,10,380,177889.4
SO00046,MAT0062,20,969,227017.32
SO00046,MAT0165,30,516,101032.8
SO00046,MAT0075,40,348,32019.48
SO00046,MAT0062,50,903,211554.84
SO00047,MAT0140,10,947,103734.38
SO00047,MAT0044,20,935,126692.5
SO00047,MAT0023,30,707,141958.53
SO00047,MAT0080,40,20,8256.2
SO00048,MAT0167,10,897,400429.77
SO00048,MAT0045,20,504,163517.76
SO00048,MAT0182,30,886,223670.7
SO00048,MAT0133,40,565,258736.1
SO00048,MAT0102,50,804,291160.56
SO00049,MAT0112,10,147,36545.67
SO00050,MAT0034,10,672,328157.76
SO00050,MAT0136,20,92,19738.6
SO00051,MAT0160,10,583,252660.54
SO00051,MAT0004,20,285,123872.4
SO00051,MAT0152,30,825,272794.5
SO00051,MAT0037,40,2,868.66
SO00051,MAT0007,50,300,32652.0
SO00052,MAT0149,10,386,119687.02
SO00052,MAT0013,20,254,117081.3
SO00052,MAT0130,30,450,54594.0
SO00052,MAT0149,40,280,86819.6
SO00053,MAT0164,10,119,19408.9
SO00054,MAT0109,10,379,87564.16
SO00054,MAT0087,20,759,122221.77
SO00054,MAT0144,30,582,252326.1
SO00055,MAT0059,10,771,240798.72
SO00056,MAT0044,10,2,271.0
SO00056,MAT0011,20,356,5400.52
SO00056,MAT0164,30,114,18593.4
SO00056,MAT0146,40,693,262515.33
SO00057,MAT0101,10,195,8541.0
SO00057,MAT0005,20,166,59112.6
SO00057,MAT0085,30,941,67074.48
SO00057,MAT0063,40,243,30603.42
SO00057,MAT0140,50,770,84345.8
SO00058,MAT0185,10,12,4141.32
SO00058,MAT0000,20,67,31751.3
SO00059,MAT0000,10,44,20851.6
SO00059,MAT0133,20,29,13280.26
SO00059,MAT0156,30,59,26128.74
SO00059,MAT0073,40,507,95168.97
SO00059,MAT0099,50,835,205577.0
SO00060,MAT0045,10,898,291347.12
SO00060,MAT0197,20,384,127349.76
SO00060,MAT0107,30,850,2329.0
SO00060,MAT0156,40,180,79714.8
SO00060,MAT0142,50,604,156230.64
SO00061,MAT0106,10,806,303402.58
SO00061,MAT0001,20,55,17709.45
SO00062,MAT0038,10,995,217656.25
SO00062,MAT0019,20,122,9921.04
SO00062,MAT0058,30,883,136193.92
SO00062,MAT0164,40,307,50071.7
SO00063,MAT0061,10,804,351307.8
SO00063,MAT0129,20,661,301389.56
SO00063,MAT0034,30,122,59576.26
SO00063,MAT0142,40,37,9570.42
SO00064,MAT0180,10,188,20836.04
SO00064,MAT0153,20,452,102016.4
SO00064,MAT0016,30,797,69514.34
SO00064,MAT0103,40,658,292224.38
SO00064,MAT0125,50,105,19611.9
SO00065,MAT0183,10,393,111737.76
SO00065,MAT0009,20,322,9486.12
SO00065,MAT0010,30,670,151822.0
SO00065,MAT0034,40,921,449751.93
SO00066,MAT0017,10,641,70324.11
SO00066,MAT0111,20,786,16002.96
SO00066,MAT0153,30,35,7899.5
SO00066,MAT0180,40,535,59294.05
SO00067,MAT0076,10,284,54317.84
SO00067,MAT0010,20,518,117378.8
SO00067,MAT0005,30,247,87956.7
SO00067,MAT0195,40,677,43497.25
SO00068,MAT0055,10,232,3104.16
SO00068,MAT0188,20,181,78617.35
SO00068,MAT0181,30,910,395904.6
SO00068,MAT0045,40,757,245601.08
SO00068,MAT0008,50,266,47228.3
SO00069,MAT0064,10,774,377549.46
SO00069,MAT0029,20,265,10422.45
SO00069,MAT0092,30,63,22130.64
SO00070,MAT0112,10,702,174524.22
SO00071,MAT0141,10,319,131635.35
SO00071,MAT0049,20,54,23073.12
SO00071,MAT0174,30,624,113037.6
SO00071,MAT0006,40,116,3938.2
SO00072,MAT0123,10,460,168668.2
SO00072,MAT0011,20,168,2548.56
SO00072,MAT0067,30,954,462890.34
SO00072,MAT0079,40,372,62823.36
SO00073,MAT0182,10,341,86085.45
SO00073,MAT0086,20,758,224413.48
SO00074,MAT0181,10,213,92667.78
SO00074,MAT0138,20,175,34928.25
SO00074,MAT0034,30,514,251001.62
SO00075,MAT0194,10,717,353136.84
SO00075,MAT0162,20,810,80449.2
SO00076,MAT0071,10,54,5601.42
SO00076,MAT0194,20,287,141353.24
SO00076,MAT0101,30,554,24265.2
SO00076,MAT0129,40,912,415835.52
SO00077,MAT0176,10,6,2592.84
SO00077,MAT0155,20,415,202046.9
SO00077,MAT0004,30,406,176463.84
SO00078,MAT0003,10,13,830.18
SO00078,MAT0096,20,915,298335.75
SO00078,MAT0072,30,278,100599.86
SO00078,MAT0147,40,622,168624.2
SO00079,MAT0010,10,327,74098.2
SO00079,MAT0158,20,689,117240.24
SO00079,MAT0182,30,447,112845.15
SO00079,MAT0022,40,460,16900.4
SO00079,MAT0042,50,79,31490.19
SO00080,MAT0063,10,782,98485.08
SO00080,MAT0173,20,659,65656.17
SO00080,MAT0077,30,944,325689.44
SO00080,MAT0096,40,597,194651.85
SO00081,MAT0041,10,362,139489.46
SO00081,MAT0135,20,114,29845.2
SO00081,MAT0051,30,38,14633.8
SO00082,MAT0051,10,750,288825.0
SO00083,MAT0031,10,163,14216.86
SO00084,MAT0055,10,966,12925.08
SO00085,MAT0103,10,644,286006.84
SO00085,MAT0082,20,380,111252.6
SO00085,MAT0097,30,469,5740.56
SO00086,MAT0138,10,141,28142.19
SO00086,MAT0187,20,195,14541.15
SO00086,MAT0031,30,609,53116.98
SO00086,MAT0020,40,944,438610.72
SO00086,MAT0162,50,243,24134.76
SO00087,MAT0067,10,852,413398.92
SO00087,MAT0037,20,439,190670.87
SO00088,MAT0025,10,763,16320.57
SO00088,MAT0103,20,308,136785.88
SO00088,MAT0114,30,221,18285.54
SO00088,MAT0116,40,62,18562.18
SO00089,MAT0139,10,22,9109.98
SO00090,MAT0098,10,194,46647.3
SO00090,MAT0157,20,290,30479.0
SO00090,MAT0078,30,7,1149.68
SO00091,MAT0143,10,6,2779.14
SO00091,MAT0014,20,885,266243.4
SO00092,MAT0030,10,527,184186.5
SO00092,MAT0093,20,367,46590.65
SO00092,MAT0025,30,168,3593.52
SO00093,MAT0009,10,887,26131.02
SO00093,MAT0125,20,924,172584.72
SO00093,MAT0196,30,370,149824.1
SO00093,MAT0095,40,159,5493.45
SO00094,MAT0003,10,878,56069.08
SO00094,MAT0063,20,636,80097.84
SO00094,MAT0175,30,872,184672.16
SO00094,MAT0129,40,422,192415.12
SO00094,MAT0165,50,637,124724.6
SO00095,MAT0054,10,762,142532.1
SO00095,MAT0146,20,50,18940.5
SO00095,MAT0107,30,204,558.96
SO00095,MAT0176,40,540,233355.6
SO00095,MAT0187,50,570,42504.9
SO00096,MAT0198,10,99,30356.37
SO00096,MAT0127,20,757,350407.73
SO00096,MAT0112,30,215,53451.15
SO00096,MAT0011,40,840,12742.8
SO00097,MAT0171,10,269,66039.5
SO00097,MAT0011,20,995,15094.15
SO00097,MAT0177,30,990,285674.4
SO00097,MAT0005,40,177,63029.7
SO00098,MAT0153,10,947,213737.9
SO00098,MAT0099,20,732,180218.4
SO00098,MAT0119,30,311,33588.0
