vendor_id,vendor_name,city,country
VEND0000,Cardenas-Petersen,Jeremyview,Sudan
VEND0001,"Romero, Simmons and Patterson",Thompsonside,Tokelau
VEND0002,Hunt LLC,Kristaside,Tajikistan
VEND0003,"Terrell, Guerra and Wilson",Jacobfort,Kyrgyz Republic
VEND0004,"Spencer, Johnson and Copeland",New Amberhaven,Iraq
VEND0005,Rodriguez Inc,New Sandraburgh,Saint Pierre and Miquelon
VEND0006,"Robinson, Smith and Harris",Lake Karenmouth,Kuwait
VEND0007,Campbell-Hughes,Annmouth,Kazakhstan
VEND0008,Watkins-Palmer,North Adamtown,Fiji
VEND0009,"Alexander, Anderson and Miles",Ryanfort,Saint Lucia
VEND0010,"Hughes, Jenkins and White",Vincenttown,New Zealand
VEND0011,Anderson-Bean,Smithland,China
VEND0012,Kelly Inc,Connorstad,Bosnia and Herzegovina
VEND0013,Bell-Keller,Port Bernard,Ecuador
VEND0014,"Carter, Hamilton and Clark",East Derek,Belize
VEND0015,Norris Inc,West Kevin,French Southern Territories
VEND0016,Hooper Ltd,Lake Kathryn,Iraq
VEND0017,King-Hanson,Martinezbury,Marshall Islands
VEND0018,Morrison Ltd,Vasquezberg,Netherlands
VEND0019,Fox-Cardenas,Williamsville,Estonia
VEND0020,"Brooks, Hill and Jones",Maddenberg,Dominica
VEND0021,Gallagher and Sons,Brucechester,Lao People's Democratic Republic
VEND0022,"Woodard, Cooper and Williams",Nelsonmouth,Paraguay
VEND0023,Daniels-Higgins,Hollytown,Kuwait
VEND0024,Schmidt Ltd,Kellyview,Mexico
VEND0025,"Roach, Becker and Morgan",Martinview,Cocos (Keeling) Islands
VEND0026,"Rivas, Miles and Avila",Manningmouth,Tonga
VEND0027,"Powell, Carson and Trevino",North Michael,Russian Federation
VEND0028,"Henry, Pearson and Mann",Jamesfurt,Puerto Rico
VEND0029,"Garcia, Erickson and Phillips",New Mariamouth,Antigua and Barbuda
VEND0030,"Ferguson, Robbins and Morales",Kimberlyborough,Austria
VEND0031,Lee-Hebert,Schneiderton,Madagascar
VEND0032,Santiago Group,Nicholasfurt,Chad
VEND0033,Jones-Deleon,Devinport,Lithuania
VEND0034,"Moreno, Torres and Scott",Gonzalezside,France
VEND0035,"Patel, Rodriguez and Cole",Boydchester,Gambia
VEND0036,Allen Inc,New Kennethstad,Palau
VEND0037,Tapia-Kramer,East Craig,Korea
VEND0038,Hill LLC,Virginiastad,Czech Republic
VEND0039,"Gonzalez, James and Owens",East Bridgetton,Lebanon
VEND0040,Soto Ltd,North Robertfurt,Namibia
VEND0041,Lowe-Bowers,New Timothy,Cayman Islands
VEND0042,"Perez, Nelson and Hunter",Walkershire,Guinea
VEND0043,Martin LLC,Adkinsland,Dominica
VEND0044,"Scott, Ramos and Walker",Mathewton,Egypt
VEND0045,Nelson Group,Martinburgh,Pitcairn Islands
VEND0046,Abbott-Duran,South Taraland,Guinea-Bissau
VEND0047,"Gregory, Wood and Simmons",Summersland,Moldova
VEND0048,Ramsey-Summers,North Dean,Macao
VEND0049,Edwards-Foster,Port Amyhaven,Cambodia
VEND0050,Wade-Thompson,Jacksonside,Ireland
VEND0051,Kim-Collins,Crystalstad,Egypt
VEND0052,Hernandez-Richards,East Kevin,Niue
VEND0053,Noble-Elliott,West Jacqueline,Guinea-Bissau
VEND0054,"Moore, Bell and Fitzgerald",Mcdonaldport,Philippines
VEND0055,"Hamilton, Small and Levy",North Williamfort,Botswana
VEND0056,"Ramirez, Walters and Thompson",Lake Charleneport,United Arab Emirates
VEND0057,Johnson Inc,Port Paul,Slovenia
VEND0058,Garcia LLC,Stewartborough,Korea
VEND0059,"Morris, Thompson and Hickman",Brookeshire,Ecuador
VEND0060,Wilson-Bell,East Justinfurt,Falkland Islands (Malvinas)
VEND0061,Morris LLC,Samuelstad,Jordan
VEND0062,"Hopkins, Schroeder and Rivera",Pollardstad,Holy See (Vatican City State)
VEND0063,Oneill-Brown,Nataliefort,Dominica
VEND0064,Collins-Smith,Johnbury,Bahamas
VEND0065,"Harper, Johnson and Wallace",Rachelfurt,Japan
VEND0066,Foster Inc,East Melissaside,Mongolia
VEND0067,Oliver-Larsen,East Lauraport,Kenya
VEND0068,Stephens PLC,Krauseville,South Africa
VEND0069,Moon-Allen,Port Keithside,Niue
VEND0070,"Jackson, Holmes and Velasquez",South Michelleland,Lesotho
VEND0071,Pugh LLC,Heatherville,Botswana
VEND0072,"Allen, Taylor and Acosta",East Andre,Belarus
VEND0073,"Duffy, Henry and Martinez",Karenton,Kiribati
VEND0074,Yang PLC,Jasonland,Cote d'Ivoire
VEND0075,Francis LLC,West Samanthaville,Luxembourg
VEND0076,Padilla-Bradley,Craigburgh,Heard Island and McDonald Islands
VEND0077,"Wallace, Nelson and Turner",South Kevin,Micronesia
VEND0078,Davis-Salas,Brianbury,French Southern Territories
VEND0079,Hatfield-Floyd,West Patrick,Turks and Caicos Islands
VEND0080,Sosa-Brooks,Jerryton,Guatemala
VEND0081,Williams-Huber,Freymouth,Jamaica
VEND0082,Johnson Ltd,South Spencer,Senegal
VEND0083,"Smith, Conner and Meza",South Jerryton,Papua New Guinea
VEND0084,Hill Inc,Youngfort,Kuwait
VEND0085,Doyle-Olsen,Caitlinburgh,Cocos (Keeling) Islands
VEND0086,Williams-Jenkins,Lake Ann,Iraq
VEND0087,"Smith, Rodriguez and Gross",Lake Erikaton,Hungary
VEND0088,"Kim, Wilson and Price",Littleland,Tunisia
VEND0089,"Sparks, Wilkinson and Frey",New Kimside,Paraguay
VEND0090,"Simpson, Lloyd and Morris",Lake Russell,United States Minor Outlying Islands
VEND0091,Miller PLC,Port Jamesside,South Africa
VEND0092,Gonzalez-Joseph,New Sarahland,Wallis and Futuna
VEND0093,Johnson-Pena,Listad,United States Virgin Islands
VEND0094,Woods-Goodwin,Johnmouth,Uruguay
VEND0095,"King, Ibarra and James",Markstad,Bulgaria
VEND0096,"Martin, Peters and Moreno",East Amy,Timor-Leste
VEND0097,Williams-Weber,Port Samantha,Niger
VEND0098,Sparks-Ochoa,New Wanda,Senegal
VEND0099,Patterson and Sons,Ashleybury,Chile
VEND0100,Woods-Park,East Stevenmouth,Oman
VEND0101,"Arroyo, Kramer and Bennett",North Katherine,Cocos (Keeling) Islands
VEND0102,"Dominguez, Brown and Bass",Gordonside,Mauritania
VEND0103,Morris-Walker,Martintown,Latvia
VEND0104,Gordon Inc,Johnland,Congo
VEND0105,Navarro and Sons,Contrerasport,Tokelau
VEND0106,Duffy-Morris,Mcculloughside,Cayman Islands
VEND0107,Terry PLC,Davisville,Serbia
VEND0108,Luna-Young,Port Robertmouth,Bermuda
VEND0109,Shelton-Torres,West Christopher,Chad
VEND0110,Wagner PLC,Jamieberg,Slovenia
VEND0111,"Mcpherson, Roberts and Hoover",South Erin,Guyana
VEND0112,"George, Brewer and Schultz",Juliaview,Algeria
VEND0113,Brown-Watson,Port Charleneburgh,Guinea
VEND0114,Lopez-Allen,North Rogerton,Saint Vincent and the Grenadines
VEND0115,"Smith, Carpenter and Ruiz",North Scotttown,Trinidad and Tobago
VEND0116,Burton Group,South Edwardborough,Maldives
VEND0117,"Vaughn, Davis and Fry",Schneiderland,Cambodia
VEND0118,Gomez-Williams,Leonardmouth,Mozambique
VEND0119,"Oconnell, Blake and Matthews",Kevinfurt,Bangladesh
VEND0120,Drake-Gilmore,Lucastown,Tuvalu
VEND0121,Martinez-Baker,Lake Elizabeth,Rwanda
VEND0122,"Johnson, Green and Hernandez",Lake Matthewland,Pitcairn Islands
VEND0123,"Martinez, Brown and Morgan",Port Kyle,Macao
VEND0124,Dickson-Osborn,East Nancy,Palau
VEND0125,Cruz and Sons,North Karenland,Niger
VEND0126,Ward-Mann,Mccoyhaven,Mexico
VEND0127,Fuentes LLC,Watsonberg,Cyprus
VEND0128,"Coffey, Scott and Sexton",West Ryan,Spain
VEND0129,Simpson-Dean,East Michelleville,Costa Rica
VEND0130,Stewart-Miller,New Donaldville,Holy See (Vatican City State)
VEND0131,Perez-Miller,New Tyler,Cameroon
VEND0132,"Cook, Price and Pearson",Lake Selena,Uzbekistan
VEND0133,Glover-Brown,Jasonburgh,Congo
VEND0134,"Maddox, Nelson and White",Matafurt,Trinidad and Tobago
VEND0135,Nelson and Sons,West Toddhaven,Sudan
VEND0136,Gentry and Sons,Crosbymouth,French Polynesia
VEND0137,Lloyd-Martin,New Michaelchester,Pakistan
VEND0138,Duarte LLC,Barrettbury,Bulgaria
VEND0139,"Smith, Sanders and Hudson",Lake Travisland,Haiti
VEND0140,"Nichols, Pierce and Smith",Port Jamie,Nepal
VEND0141,"Mack, Graham and Alvarez",Lake Ashleyton,Uruguay
VEND0142,"Mccarthy, Shaffer and Black",Hardinside,Spain
VEND0143,Mack-Robinson,Kimberlyport,Christmas Island
VEND0144,"Stephens, Pearson and Norton",East Stevehaven,Cambodia
VEND0145,Rogers PLC,New Julie,Syrian Arab Republic
VEND0146,Chambers LLC,New Kenneth,Tajikistan
VEND0147,Collier-Tucker,Ayalaburgh,Colombia
VEND0148,Carter Group,Snyderfurt,Jamaica
VEND0149,Austin-Sanford,New Aaronmouth,Wallis and Futuna
VEND0150,Bailey-Ross,Lake Sergio,Croatia
VEND0151,"Anderson, Jones and Simpson",Gravesstad,Georgia
VEND0152,Green Group,North Chadmouth,Bermuda
VEND0153,Thornton PLC,New Kerryport,Indonesia
VEND0154,Thomas-Mcdonald,Holmesville,Slovenia
VEND0155,"Allen, Jones and Ballard",West Martha,Kyrgyz Republic
VEND0156,Hayes LLC,Randallmouth,Liberia
VEND0157,"Mitchell, Lee and Peterson",West Ronald,Dominica
VEND0158,Brooks-Smith,Garciaview,Palestinian Territory
VEND0159,Rios-Curry,Newtonville,Sri Lanka
VEND0160,Cobb Inc,South Daleland,Anguilla
VEND0161,"Lopez, Wade and Fowler",New Jasonborough,Puerto Rico
VEND0162,"Matthews, Nash and Bowman",Andrewton,Cayman Islands
VEND0163,Brennan-Delgado,East Jessicaville,Timor-Leste
VEND0164,Campos-Garcia,Cookborough,Venezuela
VEND0165,Walters-Fernandez,Port Robertfurt,Maldives
VEND0166,Warren-David,Lake Tinaside,Slovakia (Slovak Republic)
VEND0167,Keller-Reyes,Bernardberg,Iceland
VEND0168,Martinez-Brown,North Deannaview,Ireland
VEND0169,Cunningham-Henderson,Kimberlyborough,French Polynesia
VEND0170,Robinson-Williams,Kimberlyshire,Togo
VEND0171,"Conrad, Ross and Joseph",Lake Diane,Guinea-Bissau
VEND0172,Melendez LLC,West Joeville,Eritrea
VEND0173,Houston-Guzman,East Josephton,Wallis and Futuna
VEND0174,Gamble-Johnson,South Joseph,Aruba
VEND0175,Hunter-Blair,Shawnbury,Cocos (Keeling) Islands
VEND0176,Simmons Inc,Laurenton,Germany
VEND0177,Johnson Ltd,Kleinfort,Cayman Islands
VEND0178,Richardson-Brown,Port Darleneburgh,Belgium
VEND0179,"Mccormick, Turner and Bryant",West Patricia,Togo
VEND0180,"Sanchez, Roberts and Gonzalez",Port Elaineshire,Norfolk Island
VEND0181,"Mathews, Moore and Lowe",Wellstown,Central African Republic
VEND0182,Hernandez-Fletcher,Toddmouth,Timor-Leste
